V0,V1
A,de
B,la
C,que
D,el
E,en
F,y
G,a
H,los
I,se
J,del
K,las
L,un
M,por
N,con
P,una
Q,su
R,para
S,es
T,al
U,lo
V,como
W,más
X,o
Y,pero
Z,sus
A1,le
B1,ha
C1,me
D1,si
E1,sin
F1,sobre
G1,este
H1,ya
I1,entre
J1,cuando
K1,todo
L1,esta
M1,ser
N1,son
O1,dos
P1,también
Q1,fue
R1,había
S1,era
T1,muy
U1,años
V1,hasta
W1,desde
X1,está
Y1,mi
Z1,porque
A2,qué
B2,sólo
C2,han
D2,yo
E2,hay
F2,vez
G2,puede
H2,todos
I2,así
J2,nos
K2,ni
L2,parte
M2,tiene
N2,él
O2,uno
P2,donde
Q2,bien
R2,tiempo
S2,mismo
T2,ese
U2,ahora
V2,cada
W2,e
X2,vida
Y2,otro
Z2,después
A3,te
B3,otros
C3,aunque
D3,esa
E3,eso
F3,hace
G3,otra
H3,gobierno
I3,tan
J3,durante
K3,siempre
L3,día
M3,tanto
N3,ella
O3,tres
P3,sí
Q3,dijo
R3,sido
S3,gran
T3,país
U3,según
V3,menos
W3,mundo
X3,año
Y3,antes
Z3,estado
A4,contra
B4,sino
C4,forma
D4,caso
E4,nada
F4,hacer
G4,general
H4,estaba
I4,poco
J4,estos
K4,presidente
L4,mayor
M4,ante
N4,unos
O4,les
P4,algo
Q4,hacia
R4,casa
S4,ellos
T4,ayer
U4,hecho
V4,primera
W4,mucho
X4,mientras
Y4,además
Z4,quien
A5,momento
B5,millones
C5,esto
D5,españa
E5,hombre
F5,están
G5,pues
H5,hoy
I5,lugar
J5,madrid
K5,nacional
L5,trabajo
M5,otras
N5,mejor
O5,nuevo
P5,decir
Q5,algunos
R5,entonces
S5,todas
T5,días
U5,debe
V5,política
W5,cómo
X5,casi
Y5,toda
Z5,tal
A6,luego
B6,pasado
C6,primer
D6,medio
E6,va
F6,estas
G6,sea
H6,tenía
I6,nunca
J6,poder
K6,aquí
L6,ver
M6,veces
N6,embargo
O6,partido
P6,personas
Q6,grupo
R6,cuenta
S6,pueden
T6,tienen
U6,misma
V6,nueva
W6,cual
X6,fueron
Y6,mujer
Z6,frente
A7,josé
B7,tras
C7,cosas
D7,fin
E7,ciudad
F7,he
G7,social
H7,manera
I7,tener
J7,sistema
K7,será
L7,historia
M7,muchos
N7,juan
O7,tipo
P7,cuatro
Q7,dentro
R7,nuestro
S7,punto
T7,dice
U7,ello
V7,cualquier
W7,noche
X7,aún
Y7,agua
Z7,parece
A8,haber
B8,situación
C8,fuera
D8,bajo
E8,grandes
F8,nuestra
G8,ejemplo
H8,acuerdo
I8,habían
J8,usted
K8,estados
L8,hizo
M8,nadie
N8,países
O8,horas
P8,posible
Q8,tarde
R8,ley
S8,importante
T8,guerra
U8,desarrollo
V8,proceso
W8,realidad
X8,sentido
Y8,lado
Z8,mí
A9,tu
B9,cambio
C9,allí
D9,mano
E9,eran
F9,estar
G9,san
H9,número
I9,sociedad
J9,unas
K9,centro
L9,padre
M9,gente
N9,final
O9,relación
P9,cuerpo
Q9,obra
R9,incluso
S9,través
T9,último
U9,madre
V9,mis
W9,modo
X9,problemas
Y9,cinco
Z9,carlos
A10,hombres
B10,información
C10,ojos
D10,muerte
E10,nombre
F10,algunas
G10,público
H10,mujeres
I10,siglo
J10,todavía
K10,meses
L10,mañana
M10,esos
N10,nosotros
O10,hora
P10,muchas
Q10,pueblo
R10,alguna
S10,dar
T10,problema
U10,don
V10,da
W10,tú
X10,derecho
Y10,verdad
Z10,maría
A11,unidos
B11,podría
C11,sería
D11,junto
E11,cabeza
F11,aquel
G11,luis
H11,cuanto
I11,tierra
J11,equipo
K11,segundo
L11,director
M11,dicho
N11,cierto
O11,casos
P11,manos
Q11,nivel
R11,podía
S11,familia
T11,largo
U11,partir
V11,falta
W11,llegar
X11,propio
Y11,ministro
Z11,cosa
A12,primero
B12,seguridad
C12,hemos
D12,mal
E12,trata
F12,algún
G12,tuvo
H12,respecto
I12,semana
J12,varios
K12,real
L12,sé
M12,voz
N12,paso
